NO_SEQ,NO_ENTRE_1,NOM_PUITS,ANNEE,REGION_GEO,LATITUDE_X,LATITUDE_1,LONGITUDE_,LONGITUDE1,PROFONDEUR,TYPE_PUITS,SYMBOLOGIE,F1,Number,Name,MERN_status,Year_of_drilling,Year_of_suspension,Year_of_abandon,Latitude,Longitude,Administrative_region,Geological_region,Type_of_drill,Deepest_casing_base__m_sol_ou_m,Geology_from_end_of_last_casing,Operator,Type,Plugging_status,Ground_elevation__m_mer_,Depth__m_sol_or_m_KB_,Link_to_inspection_report,Link_to_SIGPEG,ObjectID,geometry
11,AZ14,Gauge Hole No 2 Saint-Scholastique,1970,(A) Basses-Terres (sols consolidus),"45) 39' 06,1""",45.6517,"-74  00' 46,6""",-74.0129,240 pi/sol,Sondage stratigraphique,Statut inconnu,41,AZ14,Gauge Hole No 2 Saint-Scholastique,Non-Locatable,1970,N.D.,N.D.,45.6517,-74.0129,Laurentides,A-Basses-Terres (sols consolidés),N.D.,N.D.,Dolomite,International Airport Saint-Scholastique,None,Unplugged,60.96,73.152,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ14_insp_inactif_2019-09-12_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ14,607,POINT (-74.01289999993503 45.65169999985517)
12,AZ15,Gauge Hole 3B/70 Saint-Scholastique,0,(A) Basses-Terres (sols consolidqs),"45) 39' 00,1""",45.65,"-74  04' 58,6""",-74.0829,240 pi/sol,Sondage stratigraphique,Statut inconnu,42,AZ15,Gauge Hole 3B/70 Saint-Scholastique,Non-Locatable,,N.D.,N.D.,45.65,-74.0829,Laurentides,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,N.D.,None,Unplugged,,73.152,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ15_insp_inactif_2019-11-07_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ15,608,POINT (-74.08290000033469 45.6499999997003)
13,AZ16,Glenview Aylmer No 13,1959,(A) Basses-Terres (sols consolidqs),"45) 24' 00,2""",45.4001,"-75  48' 58,8""",-75.8163,345 pi/sol,Sondage stratigraphique,Statut inconnu,43,AZ16,Glenview Aylmer No 13,Non-Locatable,1959,N.D.,N.D.,45.4001,-75.8163,Outaouais,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,N.D.,None,Unplugged,,105.156,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ16_insp_inactif_2019-10-30_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ16,609,POINT (-75.81630000024478 45.40010000031481)
14,AZ21,Hull Foundry Well,0,(A) Basses-Terres (sols consolidqs),"45) 26' 00,1""",45.4334,"-75  43' 48,8""",-75.7302,909 pi/sol,Sondage stratigraphique,Statut inconnu,44,AZ21,Hull Foundry Well,Non-Locatable,,N.D.,N.D.,45.4334,-75.7302,Outaouais,A-Basses-Terres (sols consolidés),N.D.,N.D.,Dolomite,N.D.,None,Unplugged,,277.0632,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ21_insp_inactif_2019-10-30_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ21,610,POINT (-75.73020000022979 45.43339999991014)
15,AZ22,Huttes militaires de Longueuil No 321,0,(A) Basses-Terres (sols consolidos),"45) 32' 38,1""",45.5439,"-73  30' 00,5""",-73.5001,620 pi/sol,Sondage stratigraphique,Statut inconnu,45,AZ22,Huttes militaires de Longueuil No 321,Non-Locatable,,N.D.,N.D.,45.5439,-73.5001,Montérégie,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,N.D.,None,Unplugged,,188.976,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ22_insp_inactif_2019-07-18_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ22,611,POINT (-73.50009999971519 45.54390000008499)
16,AZ23,Imperial Lowlands Yamaska No 4 (Y-4),1956,(A) Basses-Terres (sols consolidYs),"46) 00' 34,1""",46.0095,"-72  58' 40,4""",-72.9779,440 pi/sol,Puits d'exploration oWildcato,Ferms d'finitivement,46,AZ23,Imperial Lowlands Yamaska No 4 (Y-4),Non-Locatable,1956,N.D.,N.D.,46.0094722,-72.9778889,Montérégie,A-Basses-Terres (sols consolidés),N.D.,N.D.,"Siltstone, shale",Lowlands Exploration Ltd.,None,Unplugged,,134.112,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ23_insp_inactif_2019-09-24_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ23,612,POINT (-72.97790000038469 46.00950000002501)
17,AZ24,Montreal Cotton Valleyfield No 1,0,(A) Basses-Terres (sols consolid,"45) 15' 30,2""",45.2584,"-74  03' 58,6""",-74.0663,258 pi/sol,Sondage stratigraphique,Statut inconnu,47,AZ24,Montreal Cotton Valleyfield No 1,Non-Locatable,,N.D.,N.D.,45.2583889,-74.0662778,Montérégie,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,N.D.,None,Unplugged,,78.6384,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ24_insp_inactif_2019-10-24_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ24,613,POINT (-74.06630000014485 45.25840000025988)
18,AZ25,Montreal Cotton Valleyfield No 3,0,(A) Basses-Terres (sols consolid,"45) 15' 30,2""",45.2584,"-74  03' 58,6""",-74.0663,300 pi/sol,Sondage stratigraphique,Statut inconnu,48,AZ25,Montreal Cotton Valleyfield No 3,Non-Locatable,,N.D.,N.D.,45.2583889,-74.0662778,Montérégie,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,N.D.,None,Unplugged,,91.44,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ25_insp_inactif_2019-10-24_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ25,614,POINT (-74.06630000014485 45.25840000025988)
19,AZ26,Montreal Cotton Valleyfield No 4,0,(A) Basses-Terres (sols consolid,"45) 15' 14,4""",45.254,"-74  4' 20,8""",-74.0724,227 pi/sol,Sondage stratigraphique,Statut inconnu,159,AZ26,Montreal Cotton Valleyfield No 4,Non-Problematic,,N.D.,N.D.,45.2583889,-74.0662778,Montérégie,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,N.D.,None,Unplugged,,69.1896,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ26_insp_inactif_2019-10-24_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ26,254,POINT (-74.07239999996 45.25399999970028)
20,AZ28,Ottawa Country Club,1908,(A) Basses-Terres (sols consolid,"45) 25' 00,1""",45.4167,"-75  45' 58,8""",-75.7663,325 pi/sol,Sondage stratigraphique,Statut inconnu,49,AZ28,Ottawa Country Club,Non-Locatable,1908,N.D.,N.D.,45.4167,-75.7663,Outaouais,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,D.R. McLellan,None,Unplugged,67.9704,99.06,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ28_insp_inactif_2019-10-30_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ28,615,POINT (-75.7663000003447 45.41669999960533)
21,AZ29,Imperial Lowlands Yamaska No 3 (Y-3),1956,(A) Basses-Terres (sols consolidYs),"46) 2' 41,2""",46.0448,"-72  47' 5""",-72.7847,1300 pi/sol,Sondage stratigraphique,Statut inconnu,160,AZ29,Imperial Lowlands Yamaska No 3 (Y-3),Non-Problematic,1956,N.D.,N.D.,46.04426,-72.78532,Centre-du-Québec,A-Basses-Terres (sols consolidés),N.D.,N.D.,"Limestone, sandstone, siltstone, shale",Lowlands Exploration Ltd.,None,Unplugged,,396.24,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ29_insp_inactif_2019-07-23_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ29,255,POINT (-72.78469999960527 46.04480000011995)
22,AZ35,Saint-Georges No 1,1942,(A) Basses-Terres (sols consolidYs),"46) 7' 19,8""",46.1222,"-70  39' 56,6""",-70.6657,1860 pi/sol,Puits d'exploration oWildcato,Ferms d'finitivement,161,AZ35,Saint-Georges No 1,Non-Problematic,1942,N.D.,N.D.,46.12217,-70.66571,Chaudière-Appalaches,A-Basses-Terres (sols consolidés),Cable,63.3984,"Limestone, shale",Edouard Lacroix,None,Unplugged,,566.928,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ35_insp_inactif_2019-07-24_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ35,256,POINT (-70.665699999955 46.12220000003003)
23,AZ40,Imperial Lowlands Yamaska No 6 (Y-6),1957,(A) Basses-Terres (sols consolidYs),"46) 1' 10,4""",46.0196,"-72  58' 46,9""",-72.9797,200 pi/sol,Puits d'exploration oWildcato,Ferms d'finitivement,162,AZ40,Imperial Lowlands Yamaska No 6 (Y-6),Non-Problematic,1957,N.D.,1957,46.0202771,-72.9804064,Montérégie,A-Basses-Terres (sols consolidés),N.D.,N.D.,Shale,Lowlands Exploration Ltd.,None,Plugged,,60.96,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ40_insp_inactif_2019-09-19_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ40,257,POINT (-72.97969999975516 46.01959999994011)
24,AZ41,Imperial Lowlands Yamaska No 2 (Y-2),1956,(A) Basses-Terres (sols consolidYs),"46) 2' 12,3""",46.0368,"-72  49' 39,7""",-72.8277,1047 pi/sol,Sondage stratigraphique,Statut inconnu,163,AZ41,Imperial Lowlands Yamaska No 2 (Y-2),Non-Problematic,1956,N.D.,N.D.,46.0333611,-72.8328889,Centre-du-Québec,A-Basses-Terres (sols consolidés),Cable,N.D.,"Sandstone, siltstone",Lowlands Exploration Ltd.,Gas,Unplugged,22.86,319.1256,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ41_insp_inactif_2019-07-23_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ41,258,POINT (-72.82769999955531 46.03679999992011)
25,AZ42,Farnham Militia Camp No 1,0,(A) Basses-Terres (sols consolidYs),"45) 16' 50,1""",45.2806,"-72  58' 28,5""",-72.9746,220 pi/sol,Sondage stratigraphique,Statut inconnu,50,AZ42,Farnham Militia Camp No 1,Non-Locatable,,N.D.,N.D.,45.2806,-72.9746,Montérégie,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,N.D.,None,Unplugged,,67.056,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ42_insp_inactif_2019-10-01_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ42,616,POINT (-72.97460000018981 45.28059999969031)
26,AZ43,Farnham Militia Camp No 2,0,(A) Basses-Terres (sols consolidYs),"45) 16' 50,1""",45.2806,"-72  58' 28,5""",-72.9746,580 pi/sol,Sondage stratigraphique,Statut inconnu,51,AZ43,Farnham Militia Camp No 2,Non-Locatable,,N.D.,N.D.,45.2806,-72.9746,Montérégie,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,N.D.,None,Unplugged,,176.784,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ43_insp_inactif_2019-10-01_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ43,617,POINT (-72.97460000018981 45.28059999969031)
27,AZ45,Dufresne Engineering No 1 Well,0,(A) Basses-Terres (sols consolidYs),"45) 18' 30,1""",45.3084,"-73  53' 58,5""",-73.8996,300 pi/sol,Sondage stratigraphique,Statut inconnu,52,AZ45,Dufresne Engineering No 1 Well,Non-Locatable,,N.D.,N.D.,45.3084,-73.8996,Montérégie,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,Dufresne Engineering Company,None,Unplugged,,91.44,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ45_insp_inactif_2019-10-23_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ45,618,POINT (-73.89960000013986 45.30840000015991)
28,AZ49,Imperial Shallow Test Hole N-1,1957,(A) Basses-Terres (sols consolidYs),"46) 26' 00,1""",46.4334,"-72  09' 58,4""",-72.1662,180 pi/sol,Puits d'exploration oWildcato,Ferms d'finitivement,53,AZ49,Imperial Shallow Test Hole N-1,Non-Locatable,1957,N.D.,1957,46.4380762,-72.1720609,Centre-du-Québec,A-Basses-Terres (sols consolidés),Cable,N.D.,Sandstone,Lowlands Exploration Ltd.,None,Plugged,,54.864,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ49_insp_inactif_2019-08-20_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ49,619,POINT (-72.16620000022976 46.43339999971028)
29,AZ50,Imperial Shallow Test Hole N-2,1957,(A) Basses-Terres (sols consolidYs),"46) 25' 50,1""",46.4306,"-72  09' 38,4""",-72.1607,205 pi/sol,Puits d'exploration oWildcato,Ferms d'finitivement,54,AZ50,Imperial Shallow Test Hole N-2,Non-Locatable,1957,N.D.,1957,46.4306016,-72.1616708,Centre-du-Québec,A-Basses-Terres (sols consolidés),Cable,N.D.,Sandstone,Lowlands Exploration Ltd.,None,Plugged,,62.484,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ50_insp_inactif_2019-08-20_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ50,620,POINT (-72.16070000020483 46.43060000009001)
30,AZ51,Euchariste Coutu No 1,1933,(A) Basses-Terres (sols consolidYs),"46) 3' 10,2""",46.0528,"-73  17' 3,3""",-73.2843,608 pi/sol,Puits d'exploration oWildcato,Ferms d'finitivement,164,AZ51,Euchariste Coutu No 1,Non-Problematic,1933,N.D.,1933,46.05284,-73.28426,Lanaudière,A-Basses-Terres (sols consolidés),N.D.,152.4,Shale,Lanoraie Oil and Gas Syndicate Ltd.,Gas,Unplugged,,185.3184,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ51_insp_inactif_2019-08-15_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ51,259,POINT (-73.28429999994501 46.05280000031979)
31,AZ52,Imperial Lowlands Yamaska No 5 (Y-5),1957,(A) Basses-Terres (sols consolidYs),"45) 57' 50,1""",45.9639,"-72  53' 48,5""",-72.8968,185 pi/sol,Puits d'exploration oWildcato,Ferms d'finitivement,55,AZ52,Imperial Lowlands Yamaska No 5 (Y-5),Non-Locatable,1957,N.D.,1957,45.9660468,-72.8995606,Montérégie,A-Basses-Terres (sols consolidés),N.D.,N.D.,Shale,Lowlands Exploration Ltd.,None,Plugged,,56.388,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ52_insp_inactif_2019-11-11_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ52,621,POINT (-72.89679999982008 45.96389999978521)
32,AZ54,Convert Pointe-aux-Trembles,1909,(A) Basses-Terres (sols consolidYs),"46) 43' 00,1""",46.7167,"-71  34' 58,3""",-71.5829,395 pi/sol,Sondage stratigraphique,Statut inconnu,56,AZ54,Convert Pointe-aux-Trembles,Non-Locatable,1909,N.D.,N.D.,46.7167,-71.5829,Capitale-Nationale,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,E.H. Guilbault,None,Unplugged,,120.396,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ54_insp_inactif_2019-08-20_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ54,622,POINT (-71.58289999993502 46.71669999970527)
33,AZ55,Neuville,1970,(A) Basses-Terres (sols consolidYs),"46) 41' 45,1""",46.6959,"-71  36' 03,3""",-71.6009,"83,8 m/sol",Puits d'exploration oWildcato,Ferms d'finitivement,57,AZ55,Neuville,Non-Locatable,1970,N.D.,N.D.,46.695861,-71.600917,Capitale-Nationale,A-Basses-Terres (sols consolidés),N.D.,N.D.,"Limestone, shale",Les Puits du Québec Inc.,Oil,Unplugged,,84,None,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ55,623,POINT (-71.600899999935 46.69590000008498)
34,AZ57,Coop,0,(A) Basses-Terres (sols consolidYs),"45) 24' 20,1""",45.4056,"-72  44' 13,5""",-72.7371,298 pi/sol,Sondage stratigraphique,Statut inconnu,58,AZ57,Coopérative Granby Québec,Non-Locatable,,N.D.,N.D.,45.4056,-72.7371,Montérégie,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,N.D.,None,Unplugged,,90.8304,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ57_insp_inactif_2019-10-29_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ57,624,POINT (-72.73709999976512 45.4056000003398)
